2025-09-19 at 16:09:42 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 16:09:45 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 16:09:45 | INFO | Найдено 1 записей.
2025-09-19 at 16:10:49 | ERROR | Бот остановлен!
2025-09-19 at 16:10:55 | INFO | Бот успешно запущен.
2025-09-19 at 16:10:56 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 16:10:56 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 16:11:06 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 16:11:06 | INFO | Найдено 1 записей.
2025-09-19 at 16:11:22 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 16:11:22 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 16:11:25 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 16:11:25 | INFO | Найдено 1 записей.
2025-09-19 at 16:11:36 | ERROR | Бот остановлен!
2025-09-22 at 09:12:45 | INFO | Бот успешно запущен.
2025-09-22 at 09:13:01 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:13:01 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:13:04 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-22 at 09:13:04 | INFO | Найдено 3 записей.
2025-09-22 at 09:13:06 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-09-22 at 09:13:06 | INFO | Найдено 1 записей.
2025-09-22 at 09:13:18 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-09-22 at 09:13:18 | INFO | Найдено 1 записей.
2025-09-22 at 09:14:12 | ERROR | Бот остановлен!
2025-09-22 at 09:14:26 | INFO | Бот успешно запущен.
2025-09-22 at 09:14:29 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:14:29 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:14:33 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-22 at 09:14:33 | INFO | Найдено 3 записей.
2025-09-22 at 09:14:34 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-09-22 at 09:14:34 | INFO | Найдено 1 записей.
